State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Pollutant_Year
1,3,10,88101,3,30.497478,-87.880258,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2024,Daily Mean,,2025,Micrograms/cubic meter (LC),No Events,88,24,N,88,365,0,0,0.0,0.0,Certification not required,0,6.653409,3.282974,19.5,2025-02-23 00:00,12.9,2025-03-27 00:00,12.2,2025-01-24 00:00,12.2,2025-02-22 00:00,,,,,19.5,12.9,11.4,10.9,9.1,6.2,2.6,"FAIRHOPE, Alabama","FAIRHOPE HIGH SCHOOL, 1 PIRATE DRIVE, FAIRHOPE,  ALABAMA",AL,Baldwin,Fairhope,"Daphne-Fairhope-Foley, AL",2025-06-13,2024
1,27,1,88101,3,33.284928,-85.803608,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2024,Daily Mean,,2025,Micrograms/cubic meter (LC),No Events,90,25,N,90,365,0,0,1.0,1.0,Certification not required,0,7.16,6.649657,48.5,2025-01-26 00:00,30.5,2025-03-23 00:00,23.6,2025-02-20 00:00,23.6,2025-03-28 00:00,,,,,48.5,30.5,20.1,13.2,7.9,5.4,3.0,ASHLAND,ASHLAND AIRPORT,AL,Clay,Ashland,,2025-06-13,2024
1,49,1003,88101,3,34.288567,-85.969858,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2024,Daily Mean,,2025,Micrograms/cubic meter (LC),No Events,90,25,N,90,365,0,0,0.0,0.0,Certification not required,0,5.764444,3.452871,20.2,2025-03-28 00:00,17.3,2025-03-29 00:00,12.7,2025-03-13 00:00,12.1,2025-02-23 00:00,,,,,20.2,17.3,11.7,9.9,7.7,4.9,2.2,CROSSVILLE,"13112 HWY.68 , CROSSVILLE AL. 35962",AL,DeKalb,Crossville,"Fort Payne, AL",2025-06-13,2024
1,49,9991,44201,1,34.289001,-85.970065,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2025,Parts per million,No Events,2028,24,N,60,245,0,0,0.0,0.0,Certification not required,0,0.046967,0.009913,0.068,2025-03-12 10:00,0.068,2025-04-18 09:00,0.064,2025-04-14 10:00,0.063,2025-03-28 09:00,,,,,0.068,0.068,0.064,0.061,0.055,0.05,0.041,Sand Mountain,"Sand Mountain Alabama Agricultural Experiment Station, Crossville, AL 35962",AL,DeKalb,Crossville,"Fort Payne, AL",2025-07-05,2015
1,55,10,88101,3,33.98821,-85.992556,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2024,Daily Mean,,2025,Micrograms/cubic meter (LC),No Events,88,24,N,88,365,0,0,0.0,0.0,Certification not required,0,7.735227,4.013685,25.8,2025-03-12 00:00,21.0,2025-03-29 00:00,17.8,2025-03-28 00:00,14.2,2025-01-26 00:00,,,,,25.8,21.0,13.8,12.4,9.6,6.7,4.0,GADSDEN C. COLLEGE,"314 COLLEGE DRIVE, GADSDEN, AL 35902",AL,Etowah,Gadsden,"Gadsden, AL",2025-06-13,2024
1,73,23,88101,3,33.553056,-86.815,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2024,Daily Mean,,2025,Micrograms/cubic meter (LC),Events Included,88,24,N,88,365,0,0,1.0,1.0,Certification not required,0,13.226136,6.68062,39.9,2025-03-28 00:00,29.1,2025-03-10 00:00,28.8,2025-03-27 00:00,27.6,2025-02-26 00:00,,,,,39.9,29.1,27.1,23.2,16.8,12.0,6.2,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",AL,Jefferson,Birmingham,"Birmingham-Hoover, AL",2025-05-27,2024
1,73,1005,88101,3,33.331111,-87.003611,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2024,Daily Mean,,2025,Micrograms/cubic meter (LC),Events Included,90,25,N,90,365,0,0,0.0,0.0,Certification not required,0,8.715556,4.12403,24.0,2025-03-28 00:00,19.5,2025-02-26 00:00,18.6,2025-03-29 00:00,17.7,2025-02-24 00:00,,,,,24.0,19.5,16.9,14.6,10.8,8.0,4.4,McAdory, ROUTE 8 MCADORY,AL,Jefferson,,"Birmingham-Hoover, AL",2025-05-23,2024
1,73,1010,88101,3,33.545278,-86.549167,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2024,Daily Mean,,2025,Micrograms/cubic meter (LC),Events Included,90,25,N,90,365,0,0,0.0,0.0,Certification not required,0,8.32,3.618498,26.0,2025-03-28 00:00,18.8,2025-03-29 00:00,15.7,2025-02-26 00:00,14.4,2025-03-27 00:00,,,,,26.0,18.8,14.3,12.7,10.0,7.6,4.6,Leeds, 201 ASHVILLE ROAD,AL,Jefferson,Leeds,"Birmingham-Hoover, AL",2025-05-23,2024
1,73,2003,88101,3,33.499722,-86.924167,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2024,Daily Mean,,2025,Micrograms/cubic meter (LC),Events Included,90,25,N,90,365,0,0,0.0,0.0,Certification not required,0,8.46,4.213883,26.3,2025-03-28 00:00,20.8,2025-03-29 00:00,19.9,2025-02-26 00:00,17.5,2025-03-01 00:00,,,,,26.3,20.8,16.8,13.7,10.3,7.5,4.2,Wylam,1242 JERSEY ST WYLAM AL,AL,Jefferson,Birmingham,"Birmingham-Hoover, AL",2025-05-27,2024
1,73,6002,88101,3,33.578333,-86.773889,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2024,Daily Mean,,2025,Micrograms/cubic meter (LC),Events Included,26,7,N,26,365,0,0,0.0,0.0,Certification not required,0,10.4,5.182046,26.4,2025-03-28 00:00,20.3,2025-03-10 00:00,17.5,2025-03-29 00:00,17.0,2025-03-12 00:00,,,,,26.4,26.4,20.3,17.5,12.4,8.8,5.7,Tarrant Elementary School,"TARRANT, ELEM. SCH., 1269 PORTLAND STREE",AL,Jefferson,Tarrant (corporate name for Tarrant City),"Birmingham-Hoover, AL",2025-05-27,2024
